Type of Object,Average Grasp,Success 1,Success 2,Success 3,Average
DrinkingUtensil,"[0.154324, 0.111858, 0.094221, -0.021311, 0.013164, -0.077443]",0.5,0.25,0.25,0.33
USBStick,"[0.485283, 0.483326, 0.01808, 0.111911, -0.00312, -0.145714]",0.25,0.0,0.5,0.25
Ship,"[0.09851, 0.073152, 0.054705, -0.172726, 0.010073, -0.271103]",0.5,0.5,0.5,0.5
Mirror,"[0.139257, 0.282268, 0.143546, 0.106632, 0.053328, -0.001747]",0.25,0.25,0.5,0.33
Cup,"[0.112094, 0.054798, 0.051003, 0.032404, 0.014149, -0.014875]",0.0,0.25,0.5,0.25
Rack,"[0.073769, 0.071577, 0.051488, -0.140613, 0.170046, 0.449972]",0.25,0.25,0.5,0.33
AAABattery,"[0.110772, 0.010356, 0.021841, 0.146696, -0.082904, 0.095389]",1.0,1.0,1.0,1.0
Microwave,"[0.037847, 0.182396, 0.049386, -0.357302, -0.174969, -0.216206]",0.25,0.5,1.0,0.58
Sword,"[0.072943, 0.070692, 0.064817, 0.03571, 0.044805, -0.043628]",0.5,1.0,0.25,0.58
Marker,"[0.014186, 0.017094, 0.047919, 0.130269, -0.062291, -0.176559]",0.5,0.5,0.25,0.42
Stool,"[0.60469, 0.229333, 0.099251, 0.000497, 0.051608, 0.261031]",0.5,1.0,0.5,0.67
ChestOfDrawers,"[0.117484, 0.114637, 0.049455, -0.068836, -0.088978, 0.087213]",0.5,1.0,0.5,0.67
DoubleBed,"[0.0986, 0.122283, 0.084269, 0.048324, 0.117617, 0.365008]",0.5,0.25,0.5,0.42
PillBottle,"[0.398354, 0.161394, 0.793559, -0.090649, -0.227897, -0.49767]",0.0,0.5,1.0,0.5
Picture,"[0.340405, 0.084641, 0.162954, -0.007498, -0.01455, -0.022912]",0.25,0.5,0.0,0.25
Guitar,"[0.406312, 0.333884, 0.066502, -0.085295, 0.012409, -0.161789]",0.5,0.25,1.0,0.58
Lamp,"[0.123759, 0.035927, 0.055868, -0.032433, -0.019933, 0.323645]",0.5,1.0,0.5,0.67
Curtain,"[0.104053, 0.040856, 0.089685, -0.02656, -0.003943, 0.004348]",0.25,0.25,0.0,0.17
Donut,"[0.042377, 0.052694, 0.042021, 0.006337, -0.054171, -0.330447]",0.5,1.0,0.25,0.58
WineBottle,"[0.028793, 0.007467, 0.153928, -0.003549, 0.005597, -0.017297]",0.5,1.0,1.0,0.83
KingBed,"[0.09696, 0.142084, 0.110807, 0.049056, 0.03401, 0.407521]",1.0,0.25,0.5,0.58
Glasses,"[0.048893, 0.02474, 0.020718, 0.120594, -0.054496, -0.05511]",0.25,0.5,0.0,0.25
Recliner,"[0.498518, -0.115604, 0.135063, 0.152502, -0.043661, -0.205548]",0.25,0.5,0.25,0.33
MilkCarton,"[-0.009402, -0.018416, 0.103713, -0.244636, -0.201654, -0.09018]",0.25,0.25,0.5,0.33
Car,"[0.10073, 0.118032, 0.005386, 0.024595, 0.098476, -0.327042]",1.0,0.5,0.25,0.58
Toilet,"[1.418548, 1.220642, 0.056049, 0.134146, -0.023602, -0.159847]",1.0,0.5,0.25,0.58
PowerStrip,"[0.30342, 0.174744, 0.023806, -0.002491, 0.046281, -0.23807]",1.0,1.0,1.0,1.0
Bed,"[0.084404, 0.086328, 0.022399, -0.283447, -0.12667, 0.070237]",0.5,0.5,1.0,0.67
TvStand,"[0.043488, 0.134678, 0.026771, 0.024005, -0.160584, 0.182278]",0.5,0.5,0.5,0.5
PianoKeyboard,"[0.08622, 0.080245, 0.047852, 0.086241, 0.045644, -0.100835]",0.5,0.25,0.25,0.33
Pizza,"[0.161223, 0.088104, 0.019496, 0.015144, 0.041101, 0.033404]",0.5,0.5,0.5,0.5
TableLamp,"[0.175664, 0.149688, 0.071461, -0.072521, -0.026338, -0.114035]",0.0,0.0,0.5,0.17
Radio,"[0.122966, 0.413371, 0.110083, 0.336236, 0.195871, 0.103678]",1.0,0.0,1.0,0.67
Painting,"[0.108513, 0.321399, 0.206874, -0.00506, 0.011204, -0.000839]",0.0,0.0,0.5,0.17
ToiletPaper,"[-0.349709, 0.793056, 0.062931, 0.096285, -0.004044, 0.057136]",0.25,0.5,0.25,0.33
Flashlight,"[0.236769, 0.051594, 0.113782, -0.024084, 0.128215, 0.022106]",1.0,1.0,0.25,0.75
DecorativeAccessory,"[0.02487, -0.013829, 0.107818, 0.169135, -0.060593, -0.262676]",0.5,1.0,0.5,0.67
Watch,"[0.01176, -0.010465, -0.017035, -0.297302, 0.2385, 0.293659]",0.5,0.0,0.25,0.25
Bucket,"[0.156896, 0.084582, 0.168565, -0.16241, -0.137378, -0.273843]",0.5,0.25,0.25,0.33
Stapler,"[-0.004874, 0.618517, 0.350659, -0.080468, -0.046541, 0.038669]",1.0,0.0,0.0,0.33
Books,"[0.273225, -0.164633, 0.031415, 0.270797, 0.022122, 0.018215]",0.5,0.25,0.25,0.33
Faucet,"[-0.106049, -0.037384, 0.049279, -0.041658, 0.138463, 0.084689]",1.0,0.5,0.5,0.67
Fan,"[0.047702, 0.118104, 0.053234, 0.540743, 0.06395, 0.163887]",1.0,0.5,0.5,0.67
Sink,"[0.069893, 0.068303, 0.112699, 0.08754, 0.026944, 0.242411]",0.0,1.0,0.5,0.5
Poster,"[0.176054, 0.005753, 0.14765, -0.047284, 0.030032, 0.279515]",1.0,0.5,0.5,0.67
DrinkBottle,"[0.615624, 2.008028, 0.168429, -0.054259, -0.055149, -0.16413]",1.0,0.5,0.25,0.58
Knife,"[0.054686, 0.008727, 0.029933, 0.046619, 0.047272, -0.083963]",0.5,0.5,0.25,0.42
Calculator,"[0.27344, 0.401713, 0.019365, 0.023532, -0.079654, -0.165267]",0.25,1.0,1.0,0.75
Elephant,"[-0.077105, 0.051483, 0.040164, -0.550789, -0.121036, -0.327413]",0.5,0.0,1.0,0.5
BeerBottle,"[0.123775, 0.065348, 0.195908, -0.041748, 0.019764, 0.062379]",0.25,0.5,1.0,0.58
CerealBox,"[0.044452, 0.094188, 0.097874, -0.084301, -0.00273, 0.052569]",0.0,0.5,0.25,0.25
Bookcase,"[0.065798, 0.039252, 0.118421, -0.101246, -0.009304, 0.011272]",0.5,1.0,0.25,0.58
Eraser,"[0.061255, 0.06051, 0.024577, 0.166635, -0.041968, -0.394544]",0.25,0.5,0.25,0.33
Cage,"[-0.0973, 0.000905, 0.128073, 0.012755, -0.055855, -0.028476]",0.0,1.0,0.5,0.5
Bear,"[0.154759, 0.095347, 0.068408, -0.083583, -0.05259, 0.025345]",0.5,0.5,0.25,0.42
PowerSocket,"[0.083852, -0.021246, 0.191641, -0.067234, -0.009011, -0.463631]",1.0,1.0,1.0,1.0
CeilingFan,"[0.021522, 0.005818, 0.034492, -0.257004, 0.010576, 0.260758]",0.5,0.0,0.5,0.33
Camera,"[0.625942, 0.265376, 0.108528, -0.090446, 0.015984, -0.078738]",0.5,0.25,0.0,0.25
ComputerMouse,"[0.392932, 0.314161, 0.003174, 0.246243, -0.030643, -0.276665]",1.0,0.5,0.0,0.5
StandingClock,"[0.093181, 0.132098, 0.097125, 0.135084, -0.050731, 0.035994]",0.0,0.25,0.5,0.25
DonutBox,"[0.264408, 0.199271, 0.043025, -0.11562, -0.240439, -0.462171]",0.5,0.5,0.0,0.33
Scissors,"[0.164312, 0.028014, 0.102644, -0.253411, -0.156724, 0.138483]",0.5,1.0,0.5,0.67
QueenBedWithNightstand,"[0.156264, 0.156566, 0.020147, -0.486469, 0.21521, 0.30642]",0.0,0.5,0.5,0.33
Counter,"[0.108917, 0.155207, -0.013797, 0.258072, -0.195549, -0.777384]",0.0,0.25,1.0,0.42
Spoon,"[0.016207, 0.054894, 0.037203, -0.069509, 0.076238, 0.021224]",0.5,1.0,0.25,0.58
Keyboard,"[-0.052391, 0.100135, 0.005338, 0.024146, 0.006779, 0.131295]",1.0,0.0,0.5,0.5
CanopyBed,"[-0.29016, 0.4452, -0.084066, -0.725377, 0.346281, -0.604395]",1.0,0.5,0.5,0.67
Teapot,"[0.051513, 0.046484, 0.06564, -0.035284, 0.000798, -0.015132]",0.0,0.25,0.5,0.25
RoundBed,"[-0.007373, -0.019507, 0.018773, 0.278317, -0.18152, -0.68298]",1.0,1.0,0.25,0.75
PaperBox,"[0.077249, 0.161983, 0.137758, 0.241269, -0.058154, 0.008917]",1.0,0.25,0.25,0.5
PaperClip,"[0.07106, 0.062083, 0.023379, -0.053094, 0.041676, 0.014289]",0.5,0.5,0.5,0.5
FileCabinet,"[0.109033, -0.00149, 0.08777, -0.124245, -0.099356, 0.01781]",1.0,0.5,0.5,0.67
Whiteboard,"[0.045223, 0.024657, 0.031324, 0.034254, 0.036804, 0.073532]",0.25,0.5,1.0,0.58
Xbox,"[0.311492, 0.431727, 0.093154, 0.071625, 0.016209, -0.012721]",0.5,1.0,1.0,0.83
Oven,"[0.127451, 0.137331, 0.139879, -0.232725, 0.056475, -0.043313]",1.0,0.0,0.5,0.5
MediaDiscs,"[0.00641, 0.010007, -0.007665, 0.079281, 0.116944, -0.118261]",0.0,0.0,1.0,0.33
Pen,"[0.097923, 0.007502, 0.074946, -0.116174, 0.035631, 0.168318]",1.0,1.0,0.5,0.83
Donkey,"[0.504801, 0.052745, 0.185987, 0.305581, 0.011827, -0.177329]",1.0,1.0,0.5,0.83
Suitcase,"[0.15296, 0.099508, 0.07558, -0.106435, 0.051335, -0.464669]",0.0,1.0,0.25,0.42
Printer,"[0.485846, 0.492812, 0.033537, 0.227067, 0.062513, -0.110455]",1.0,1.0,0.0,0.67
Hammer,"[0.189852, 0.110276, 0.076199, -0.156561, 0.012345, 0.207553]",0.0,0.5,0.25,0.25
Credenza,"[0.001561, 0.070692, 0.018516, 0.030802, 0.091613, 0.27297]",0.5,0.5,0.25,0.42
Desktop,"[0.127261, 0.130781, 0.071178, -0.124497, -0.056735, -0.053668]",0.5,0.5,0.5,0.5
Fork,"[0.08954, 0.014421, 0.005814, 0.017293, -0.050352, 0.266114]",0.25,0.5,0.25,0.33
Teacup,"[0.053469, 0.043206, 0.029285, 0.286716, 0.122543, -0.307455]",1.0,0.5,1.0,0.83
Gun,"[0.21878, -0.049694, 0.152789, 0.157875, 0.02008, -0.21708]",1.0,0.0,1.0,0.67
Bathtub,"[0.029593, 0.061553, 0.110005, 0.003175, 0.091157, 0.04939]",1.0,0.25,0.5,0.58
PS,"[1.433679, 0.623907, 0.181846, 0.211615, 0.217337, 0.13588]",0.5,1.0,0.5,0.67
TapeMeasure,"[3.38275, 0.655961, -0.023015, -0.081605, -0.024775, -0.0569]",0.5,0.5,1.0,0.67
SoapBottle,"[0.933139, 0.466533, 0.193488, -0.099847, -0.0285, 0.188425]",0.0,0.25,0.25,0.17
Pillow,"[0.062773, 0.052857, 0.007172, 0.118297, -0.069511, -0.096692]",1.0,1.0,0.5,0.83
ScrewDriver,"[0.001136, -0.020398, 0.004501, -0.031412, 0.046413, -0.138719]",0.5,0.25,1.0,0.58
BreadSlice,"[0.12691, 0.386018, 0.021354, 0.054204, 0.105635, 0.117655]",0.5,0.25,0.5,0.42
Mattress,"[0.161787, 0.092676, 0.025021, 0.051798, 0.011598, -0.273776]",0.25,1.0,0.5,0.58
Cassette,"[0.001169, -0.023764, 0.011849, 0.462641, -0.133231, 0.303238]",0.0,0.5,0.5,0.33
Hanger,"[0.005351, 0.003111, 0.043005, -0.058861, -0.022567, -0.339632]",1.0,0.5,0.0,0.5
Hat,"[0.060686, 0.073604, 0.019028, -0.00462, 0.353948, 0.016258]",0.5,0.5,0.25,0.42
WallArt,"[0.304191, 0.092649, 0.155613, 0.072436, -0.003944, 0.176717]",0.0,0.5,0.5,0.33
Battery,"[1.241549, 1.0058, 0.074422, 0.224335, -0.035168, -0.124825]",0.5,1.0,0.25,0.58
CanOpener,"[0.026464, 0.018704, 0.02934, 0.342146, -0.07754, -0.177386]",0.25,0.25,0.5,0.33
Dog,"[0.09996, 0.111668, 0.058981, -0.024525, 0.066064, 0.040488]",0.5,1.0,0.0,0.5
LampPost,"[0.00864, 0.002499, 0.089772, -0.086089, -0.016432, 0.129456]",0.5,1.0,0.5,0.67
Canister,"[1.66226, 1.805094, 0.476051, 0.266884, -0.02573, -0.140995]",0.25,0.5,0.5,0.42
Rug,"[0.191452, 0.269473, -0.000802, -0.004919, 0.032575, 0.184683]",0.5,1.0,0.5,0.67
Washer,"[0.117461, -0.087858, 0.23047, -0.222229, 0.202821, -1.085371]",0.5,0.5,0.5,0.5
Cookie,"[0.129168, 0.062561, 0.010593, -0.260526, 0.047885, -0.019488]",0.5,0.0,0.5,0.33
WineRack,"[0.160727, 0.063539, 0.071562, -0.293742, -0.040379, 0.147888]",0.5,0.25,1.0,0.58
LoftBed,"[0.11318, 0.130464, 0.095344, 0.195869, 0.038883, 0.181455]",1.0,1.0,0.25,0.75
Purse,"[0.139967, 0.129275, 0.076786, -0.066724, -0.034554, 0.235025]",0.5,0.5,0.25,0.42
VideoGameConsole,"[0.080402, 0.075852, 0.058914, -0.092158, 0.023111, -0.497016]",0.5,0.5,1.0,0.67
Shampoo,"[2.994741, 3.418315, 0.98555, -0.073878, -0.062699, 0.263146]",0.25,0.5,0.25,0.33
Paper,"[0.947079, 1.162011, 0.004615, -0.157652, 0.190635, 0.061819]",0.25,0.5,0.5,0.42
Fireplace,"[0.139028, 0.004779, 0.101059, -0.030453, 0.059189, 0.187698]",1.0,0.25,0.25,0.5
Helicopter,"[0.023492, 0.053473, 0.025375, -0.069407, 0.121888, -0.314674]",0.0,1.0,1.0,0.67
RubiksCube,"[0.087729, 0.699477, 0.164289, 0.53362, 0.014254, -0.063008]",0.5,1.0,1.0,0.83
Backpack,"[0.06244, 0.127659, 0.030457, -0.301056, -0.033732, 0.564754]",1.0,1.0,0.25,0.75
Room,"[0.06379, 0.035911, 0.119744, -0.253473, -0.208434, -0.958454]",0.5,1.0,0.5,0.67
Pedestal,"[0.082889, 0.0485, 0.026596, 0.013474, -0.027611, -0.136868]",1.0,0.5,0.25,0.58
OutdoorTable,"[0.169594, 0.132456, 0.007935, -0.138626, -0.223358, 0.023201]",0.25,1.0,1.0,0.75
GameTable,"[0.030827, 0.059762, 0.072549, -0.109513, -0.031445, 0.194956]",0.0,0.5,1.0,0.5
Statue,"[0.01867, 0.005552, 0.130237, 0.317833, -0.060623, 0.321114]",0.5,0.0,0.5,0.33
NintendoDS,"[0.011628, 0.105408, 0.060844, -0.120797, 0.212009, 0.494647]",0.0,1.0,0.25,0.42
Cat,"[-0.080082, 0.082354, 0.125088, -0.19553, 0.110135, 0.16698]",0.5,0.25,0.25,0.33
Headboard,"[0.180053, -0.001152, -0.005174, 0.181386, 0.266066, 0.175318]",0.5,0.5,1.0,0.67
Coin,"[1.461543, 0.385795, 1.627814, 0.168396, 0.089429, 0.171327]",0.0,0.25,0.5,0.25
Sandwich,"[0.129551, 0.089097, 0.008963, -0.002426, -0.159085, 0.14609]",0.0,0.5,0.5,0.33
Ruler,"[0.060263, 0.033877, -0.000443, -0.173718, 0.125727, -0.053308]",0.5,1.0,0.5,0.67
Notepad,"[0.108326, 0.078687, 0.000334, 0.071254, -0.079136, 0.365384]",0.25,0.5,0.25,0.33
Easel,"[0.251047, 0.071861, 0.062735, -0.30764, 0.31211, 0.558419]",0.25,0.5,0.5,0.42
Copier,"[0.073993, 0.02819, 0.051118, 0.018632, 0.095644, 0.352614]",1.0,0.0,0.5,0.5
DSLRCamera,"[-0.031252, 0.068612, -0.013328, 0.246864, 0.390219, 0.271675]",1.0,0.5,1.0,0.83
CurioCabinet,"[0.06109, 0.018353, 0.147562, 0.204625, -0.041541, -0.027605]",0.25,0.5,0.0,0.25
Wii,"[0.104097, 0.049533, 0.072617, -0.135622, 0.013342, 0.114103]",0.5,0.5,0.25,0.42
Sheep,"[0.058429, 0.050125, 0.059252, -0.546676, 0.215104, 0.532168]",0.5,0.5,0.5,0.5
Cow,"[0.059174, -0.006979, 0.087913, -0.269311, -0.125815, 0.004196]",0.0,0.5,0.5,0.33
GuitarStand,"[0.013867, 0.047313, 0.070583, -0.003892, -0.426077, -0.564872]",1.0,0.5,1.0,0.83
Banana,"[0.260503, 0.062375, 0.06678, 0.054554, 0.511948, -0.036683]",0.5,1.0,0.0,0.5
KneelingChair,"[0.485182, 0.039428, 0.082839, -0.172233, 0.049494, 0.884735]",0.5,0.5,0.25,0.42
DiscCase,"[0.085662, 0.026567, 0.093253, -0.274724, 0.049912, 0.143049]",0.25,0.5,1.0,0.58
DraftingTable,"[-0.009712, 0.040833, 0.015026, 0.047735, 0.319412, 0.009921]",0.25,0.25,0.25,0.25
Courtyard,"[0.157687, 0.016035, -0.001313, -0.311895, -0.264593, -0.305393]",0.5,0.25,0.5,0.42
PosterBed,"[0.089511, 0.067032, 0.176053, -0.082033, 0.117244, 0.56502]",0.0,0.25,1.0,0.42
Thermostat,"[0.142664, -0.008067, 0.211272, -0.670018, 0.085291, 0.112898]",0.5,0.5,0.5,0.5
AABattery,"[0.037031, 0.010007, 0.018357, -0.045579, -0.001814, 0.329987]",0.5,1.0,0.5,0.67
Shoes,"[0.053249, 0.04839, 0.042114, 0.007539, 0.221672, 0.105644]",0.5,0.5,0.5,0.5
WebCam,"[0.130978, 0.082973, 0.114914, -0.065767, -0.321783, 0.254395]",0.5,0.5,0.25,0.42
Controller,"[0.045295, 0.050348, 0.010059, 0.201337, -0.276844, -0.157617]",0.25,1.0,0.5,0.58
Wallet,"[1.497671, 0.179731, 0.001469, -0.09277, 0.118572, -0.391635]",0.25,0.5,0.5,0.42
Board,"[0.035298, 0.058169, 0.008341, 0.271394, -0.02393, -0.007672]",0.5,0.25,0.5,0.42
Carrot,"[0.009761, 0.081023, 0.075605, -0.225381, -0.068231, 0.068187]",0.25,1.0,0.0,0.42
CupCake,"[0.111113, 0.035912, 0.031636, -0.317522, -0.322698, -0.444624]",1.0,1.0,0.5,0.83
Door,"[0.044103, 0.07061, 0.0239, 0.095048, -0.001299, -0.143008]",0.5,0.0,0.5,0.33
